"initial_alias","converted_alias","name","description","namespace"
"AURKA","ENSG00000087586","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASS4","ENSG00000087589","CASS4","Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIR","ENSG00000087842","PIR","pirin [Source:HGNC Symbol;Acc:HGNC:30048]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAMDC","ENSG00000087884","AAMDC","adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RFX2","ENSG00000087903","RFX2","regulatory factor X2 [Source:HGNC Symbol;Acc:HGNC:9983]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"METTL2A","ENSG00000087995","METTL2A","methyltransferase 2A, methylcytidine [Source:HGNC Symbol;Acc:HGNC:25755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SULT2B1","ENSG00000088002","SULT2B1","sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALG6","ENSG00000088035","ALG6","ALG6 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNOT3","ENSG00000088038","CNOT3","CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GP6","ENSG00000088053","GP6","glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPN4","ENSG00000088179","PTPN4","protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDX18","ENSG00000088205","DDX18","DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KHSRP","ENSG00000088247","KHSRP","KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNA11","ENSG00000088256","GNA11","G protein subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:4379]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASAP3","ENSG00000088280","ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EDEM2","ENSG00000088298","EDEM2","ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","ENSG00000088305","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REM1","ENSG00000088320","REM1","RRAD and GEM like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:15922]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPX2","ENSG00000088325","TPX2","TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDRG1","ENSG00000088356","PDRG1","p53 and DNA damage regulated 1 [Source:HGNC Symbol;Acc:HGNC:16119]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPB41L1","ENSG00000088367","EPB41L1","erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC15A1","ENSG00000088386","SLC15A1","solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DOCK9","ENSG00000088387","DOCK9","dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD10","ENSG00000088448","ANKRD10","ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGDS","ENSG00000088451","TGDS","TDP-glucose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:20324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DOCK3","ENSG00000088538","DOCK3","dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C3ORF18","ENSG00000088543","C3orf18","chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COQ9","ENSG00000088682","COQ9","coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM40","ENSG00000088726","TMEM40","transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF9","ENSG00000088727","KIF9","kinesin family member 9 [Source:HGNC Symbol;Acc:HGNC:16666]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGAP28","ENSG00000088756","ARHGAP28","Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRLS1","ENSG00000088766","CRLS1","cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEFB127","ENSG00000088782","DEFB127","defensin beta 127 [Source:HGNC Symbol;Acc:HGNC:16206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R13B","ENSG00000088808","PPP1R13B","protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATRN","ENSG00000088812","ATRN","attractin [Source:HGNC Symbol;Acc:HGNC:885]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMOX","ENSG00000088826","SMOX","spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SIGLEC1","ENSG00000088827","SIGLEC1","sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FKBP1A","ENSG00000088832","FKBP1A","FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSFL1C","ENSG00000088833","NSFL1C","NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC4A11","ENSG00000088836","SLC4A11","solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C20ORF194","None","None","None",""
"ZNF343","ENSG00000088876","ZNF343","zinc finger protein 343 [Source:HGNC Symbol;Acc:HGNC:16017]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EBF4","ENSG00000088881","EBF4","EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPXM1","ENSG00000088882","CPXM1","carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAVS","ENSG00000088888","MAVS","mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LZTS3","ENSG00000088899","LZTS3","leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"F11","ENSG00000088926","F11","coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XRN2","ENSG00000088930","XRN2","5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIZ","ENSG00000088970","KIZ","kizuna centrosomal protein [Source:HGNC Symbol;Acc:HGNC:15865]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DYNLL1","ENSG00000088986","DYNLL1","dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TESC","ENSG00000088992","TESC","tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX5","ENSG00000089006","SNX5","sorting nexin 5 [Source:HGNC Symbol;Acc:HGNC:14969]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL6","ENSG00000089009","RPL6","ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SIRPG","ENSG00000089012","SIRPG","signal regulatory protein gamma [Source:HGNC Symbol;Acc:HGNC:15757]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPKAPK5","ENSG00000089022","MAPKAPK5","MAPK activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P2RX7","ENSG00000089041","P2RX7","purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ESF1","ENSG00000089048","ESF1","ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBBP9","ENSG00000089050","RBBP9","RB binding protein 9, serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC5","ENSG00000089053","ANAPC5","anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC23A2","ENSG00000089057","SLC23A2","solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC8B1","ENSG00000089060","SLC8B1","solute carrier family 8 member B1 [Source:HGNC Symbol;Acc:HGNC:26175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM230","ENSG00000089063","TMEM230","transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DZANK1","ENSG00000089091","DZANK1","double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM2B","ENSG00000089094","KDM2B","lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFAP61","ENSG00000089101","CFAP61","cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LHX5","ENSG00000089116","LHX5","LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TASP1","ENSG00000089123","TASP1","taspase 1 [Source:HGNC Symbol;Acc:HGNC:15859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OAS1","ENSG00000089127","OAS1","2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCN1","ENSG00000089154","GCN1","GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPLP0","ENSG00000089157","RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PXN","ENSG00000089159","PXN","paxillin [Source:HGNC Symbol;Acc:HGNC:9718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SIRT4","ENSG00000089163","SIRT4","sirtuin 4 [Source:HGNC Symbol;Acc:HGNC:14932]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPH3A","ENSG00000089169","RPH3A","rabphilin 3A [Source:HGNC Symbol;Acc:HGNC:17056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF16B","ENSG00000089177","KIF16B","kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRMT6","ENSG00000089195","TRMT6","tRNA methyltransferase 6 non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:20900]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHGB","ENSG00000089199","CHGB","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEBP1","ENSG00000089220","PEBP1","phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TBX5","ENSG00000089225","TBX5","T-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRAP","ENSG00000089234","BRAP","BRCA1 associated protein [Source:HGNC Symbol;Acc:HGNC:1099]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERP29","ENSG00000089248","ERP29","endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOS1","ENSG00000089250","NOS1","nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FUS","ENSG00000089280","FUS","FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGBP1","ENSG00000089289","IGBP1","immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FXYD5","ENSG00000089327","FXYD5","FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF302","ENSG00000089335","ZNF302","zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRAMD1A","ENSG00000089351","GRAMD1A","GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FXYD3","ENSG00000089356","FXYD3","FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HEPH","ENSG00000089472","HEPH","hephaestin [Source:HGNC Symbol;Acc:HGNC:4866]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDIP1","ENSG00000089486","CDIP1","cell death inducing p53 target 1 [Source:HGNC Symbol;Acc:HGNC:13234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CMTM1","ENSG00000089505","CMTM1","CKLF like MARVEL transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19172]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCNH4","ENSG00000089558","KCNH4","potassium voltage-gated channel subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:6253]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GANAB","ENSG00000089597","GANAB","glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GMIP","ENSG00000089639","GMIP","GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBM41","ENSG00000089682","RBM41","RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BIRC5","ENSG00000089685","BIRC5","baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAG3","ENSG00000089692","LAG3","lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLF2","ENSG00000089693","MLF2","myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OTUB2","ENSG00000089723","OTUB2","OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDX24","ENSG00000089737","DDX24","DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZBTB25","ENSG00000089775","ZBTB25","zinc finger and BTB domain containing 25 [Source:HGNC Symbol;Acc:HGNC:13112]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NECAP1","ENSG00000089818","NECAP1","NECAP endocytosis associated 1 [Source:HGNC Symbol;Acc:HGNC:24539]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGAP4","ENSG00000089820","ARHGAP4","Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:HGNC:674]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD24","ENSG00000089847","ANKRD24","ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX32","ENSG00000089876","DHX32","DEAH-box helicase 32 (putative) [Source:HGNC Symbol;Acc:HGNC:16717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RCOR1","ENSG00000089902","RCOR1","REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPATCH2L","ENSG00000089916","GPATCH2L","G-patch domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:20210]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LTBP4","ENSG00000090006","LTBP4","latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BLVRB","ENSG00000090013","BLVRB","biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC9A1","ENSG00000090020","SLC9A1","solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPTLC1","ENSG00000090054","SPTLC1","serine palmitoyltransferase long chain base subunit 1 [Source:HGNC Symbol;Acc:HGNC:11277]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAPOLA","ENSG00000090060","PAPOLA","poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNK","ENSG00000090061","CCNK","cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCBP4","ENSG00000090097","PCBP4","poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:HGNC:8652]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RGS1","ENSG00000090104","RGS1","regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YPEL3","ENSG00000090238","YPEL3","yippee like 3 [Source:HGNC Symbol;Acc:HGNC:18327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS33","ENSG00000090263","MRPS33","mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFB2","ENSG00000090266","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUDC","ENSG00000090273","NUDC","nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAEA","ENSG00000090316","MAEA","macrophage erythroblast attacher, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:13731]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ICAM1","ENSG00000090339","ICAM1","intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STRN4","ENSG00000090372","STRN4","striatin 4 [Source:HGNC Symbol;Acc:HGNC:15721]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IRAK3","ENSG00000090376","IRAK3","interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYZ","ENSG00000090382","LYZ","lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SI","ENSG00000090402","SI","sucrase-isomaltase [Source:HGNC Symbol;Acc:HGNC:10856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MUL1","ENSG00000090432","MUL1","mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFAP4","ENSG00000090447","TFAP4","transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCD7","ENSG00000090470","PDCD7","programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPG21","ENSG00000090487","SPG21","SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FETUB","ENSG00000090512","FETUB","fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNAJB11","ENSG00000090520","DNAJB11","DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P3H2","ENSG00000090530","P3H2","prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THPO","ENSG00000090534","THPO","thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHRD","ENSG00000090539","CHRD","chordin [Source:HGNC Symbol;Acc:HGNC:1949]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLT3LG","ENSG00000090554","FLT3LG","fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB11FIP3","ENSG00000090565","RAB11FIP3","RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNPTG","ENSG00000090581","GNPTG","N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF268","ENSG00000090612","ZNF268","zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLGA3","ENSG00000090615","GOLGA3","golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PABPC4","ENSG00000090621","PABPC4","poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
